Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Alibaba Group Holding  F Sponsored ADR,Stock,7/4/2020,223.6,USD,-
Alphabet Inc. Class                  A,Stock,7/4/2020,1469.93,USD,-
Amgen Inc.,Stock,7/4/2020,258.24,USD,-
Apple Inc,Stock,7/4/2020,364.11,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/4/2020,1122.71,USD,1
Bank Of America Corp,Stock,7/4/2020,23.29,USD,-
Becton Dickinson&co,Stock,7/4/2020,245.03,USD,-
BlackRock Inc,Stock,7/4/2020,551.77,USD,-
Borgwarner Inc Com,Stock,7/4/2020,0.0,USD,-
Boston Scientific Co,Stock,7/4/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/4/2020,0.0,USD,-
Broadcom Inc,Stock,7/4/2020,0.0,USD,-
Cash,Cash,7/4/2020,1.0,USD,-
Cerner Corp,Stock,7/4/2020,70.09,USD,-
Change Healthcare Inc,Stock,7/4/2020,10.85,USD,-
Charles Schwab Corp,Stock,7/4/2020,33.39,USD,-
Chevron Corp,Stock,7/4/2020,88.31,USD,-
CIGNA Corp,Stock,7/4/2020,190.49,USD,-
Cisco Systems Inc,Stock,7/4/2020,45.99,USD,-
Comcast Corp Class                  A,Stock,7/4/2020,39.48,USD,-
Cummins Inc,Stock,7/4/2020,173.45,USD,-
Discover Finl S,Stock,7/4/2020,48.85,USD,-
Eastman Chemical Co,Stock,7/4/2020,70.64,USD,-
Emerson Electric Co,Stock,7/4/2020,61.65,USD,-
Exxon Mobil Corp,Stock,7/4/2020,44.08,USD,-
Facebook Inc Class                  A,Stock,7/4/2020,233.42,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/4/2020,1164.0267,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/4/2020,1164.2233,USD,1
Home Depot Inc,Stock,7/4/2020,248.5,USD,-
Intel Corp,Stock,7/4/2020,59.13,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/4/2020,177.47,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/4/2020,84.35,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/4/2020,41.36,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/4/2020,97.02,USD,-
J P Morgan Chase & Co,Stock,7/4/2020,93.56,USD,-
Jabil Circuit Inc,Stock,7/4/2020,0.0,USD,-
Johnson & Johnson,Stock,7/4/2020,140.97,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/4/2020,0.0,USD,-
Kroger Co,Stock,7/4/2020,33.5,USD,-
L3harris Technologies In,Stock,7/4/2020,172.0,USD,-
